Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,2nd Group stage,1,2,3,9,12
Australia,1st Group stage,0,1,2,0,5
Brazil,Semi-finals,3,2,2,6,4
Bulgaria,1st Group stage,0,2,1,2,5
Chile,1st Group stage,0,2,1,1,2
Germany East,2nd Group stage,2,2,2,5,5
Germany West,Champions,6,0,1,13,4
Haiti,1st Group stage,0,0,3,2,14
Italy,1st Group stage,1,1,1,5,4
Netherlands,Runners up,5,1,1,15,3
Poland,Semi-finals,6,0,1,16,5
Scotland,1st Group stage,1,2,0,3,1
Sweden,2nd Group stage,2,2,2,7,6
Uruguay,1st Group stage,0,1,2,1,6
Yugoslavia,2nd Group stage,1,2,3,12,7
Zaire,1st Group stage,0,0,3,0,14
