Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Quarter-finals,4,0,1,10,4
Austria,Group stage,0,2,1,3,4
Belgium,Group stage,0,3,0,3,3
Brazil,Runners up,5,0,2,14,10
Bulgaria,Group stage,0,1,2,1,7
Cameroon,Group stage,0,2,1,2,5
Chile,Last 16,0,3,1,5,8
Colombia,Group stage,1,0,2,1,3
Croatia,Semi-finals,5,0,2,10,5
Denmark,Quarter-finals,2,1,2,9,7
England,Last 16,2,0,2,7,4
France,Champions,7,0,0,15,2
Germany,Quarter-finals,3,1,1,8,6
Italy,Quarter-finals,3,1,1,8,3
Iran,Group stage,1,0,2,2,4
Jamaica,Group stage,1,0,2,3,9
Japan,Group stage,0,0,3,1,4
Mexico,Last 16,1,2,1,8,7
Morocco,Group stage,1,1,1,5,5
Netherlands,Semi-finals,3,2,2,13,7
Nigeria,Last 16,2,0,2,6,9
North Korea,Group stage,0,1,2,2,9
Norway,Last 16,1,2,1,5,5
Paraguay,Last 16,1,2,1,3,2
Romania,Last 16,2,1,1,4,3
Saudi Arabia,Group stage,0,1,2,2,7
Scotland,Group stage,0,1,2,2,6
South Africa,Group stage,0,2,1,3,6
Spain,Group stage,1,1,1,8,4
Tunisia,Group stage,0,1,2,1,4
USA,Group stage,0,0,3,1,5
Yugoslavia,Last 16,2,1,1,5,4
