Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Belgium,Group stage,1,0,2,4,5
Brazil,Champions,6,0,0,19,7
Bulgaria,Group stage,0,1,2,5,9
Czechoslovakia,Group stage,0,0,3,2,7
El Salvador,Group stage,0,0,3,0,9
England,Quarter-finals,2,0,2,4,4
Germany,Semi-finals,5,0,1,17,10
Isreal,Group stage,0,2,1,1,3
Italy,Runners up,3,2,1,10,8
Mexico,Quarter-finals,2,1,1,6,4
Morocco,Group stage,0,1,2,2,6
Peru,Quarter-finals,2,0,2,9,9
Romania,Group stage,1,0,2,4,5
Soviet Union,Quarter-finals,2,1,1,6,2
Sweden,Group stage,1,1,1,2,2
Uruguay,Semi-finals,2,1,3,4,5
