Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Austria,1st Round,0,0,1,0,0
Belgium,1st Round,0,0,1,1,3
Brazil,Semi-finals,3,1,1,14,11
Cuba,Quarter-finals,1,1,1,5,12
Czechoslovakia,Quarter-finals,1,1,1,5,3
Dutch East Indies,1st Round,0,0,1,0,6
France,Quarter-finals,1,0,1,4,4
Germany,1st Round,0,1,1,3,5
Hungary,Runners up,3,0,1,15,5
Italy,Champions,4,0,0,11,5
Netherlands,1st Round,0,0,1,0,3
Norway,1st Round,0,0,1,1,2
Poland,1st Round,0,0,1,5,6
Romania,1st Round,0,1,1,4,5
Sweden,Semi-finals,1,0,2,11,9
Switzerland,Quarter-finals,1,1,1,5,5
