Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Group stage,1,0,2,5,10
Austria,Group stage,0,1,2,2,7
Brazil,Champions,5,1,0,17,4
Czochoslovakia,Group stage,1,1,2,9,6
England,Group stage,0,3,1,4,5
France,Semi-finals,4,0,2,23,15
Germany,Semi-finals,2,2,2,12,14
Hungary,Group stage,1,1,2,7,5
Mexico,Group stage,0,1,2,1,8
Northern Ireland,Quarter-finals,2,1,2,6,10
Paraguay,Group stage,1,1,1,9,12
Scotland,Group stage,0,1,2,4,6
Soviet Union,Quarter-finals,2,1,2,5,6
Sweden,Runners up,4,1,1,12,7
Wales,Quarter-finals,1,3,1,4,4
Yugoslavia,Quarter-finals,1,2,1,7,7
