Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Group stage,1,1,1,2,3
Brazil,Champions,5,1,0,14,5
Bulgaria,Group stage,0,1,2,1,7
Chile,Semi-finals,4,0,2,10,8
Colombia,Group stage,0,1,2,5,11
Czechoslovakia,Runner up,3,1,2,7,7
England,Quarter-finals,1,1,2,5,6
Germany,Quarter-finals,2,1,1,4,2
Hungary,Quarter-finals,2,1,1,8,3
Italy,Group stage,1,1,1,3,2
Mexico,Group stage,1,0,2,3,4
Soviet Union,Quarter-finals,2,1,1,9,7
Spain,Group stage,1,0,2,2,3
Switzerland,Group stage,0,0,3,2,8
Uruguay,Group stage,1,0,2,4,6
Yugoslavia,Semi-finals,3,0,3,10,7
