Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Runners up,4,1,2,5,4
Austria,Group stage,0,0,3,2,8
Belgium,Last 16,2,0,2,6,4
Brazil,Last 16,3,0,1,4,2
Cameroon,Quarter-finals,3,0,2,7,9
Colombia,Last 16,1,1,2,4,4
Costa Rica,Last 16,2,0,2,4,6
Czechoslovakia,Quarter-finals,3,0,2,10,5
Egypt,Group stage,0,2,1,1,2
England,Semi-finals,3,2,2,8,6
Germany,Champions,6,1,0,15,5
Ireland,Quarter-finals,1,3,1,2,3
Italy,Semi-finals,6,0,1,10,2
Netherlands,Last 16,0,3,1,3,4
North Korea,Group stage,0,0,3,1,6
Romania,Last 16,1,1,2,4,3
Scotland,Group stage,1,0,2,2,3
Soviet Union,Group stage,1,0,2,4,4
Spain,Last 16,2,1,1,6,4
Sweden,Group stage,0,0,3,3,6
United Arab Emirates,Group stage,0,0,3,2,11
Uruguay,Last 16,1,1,2,2,5
USA,Group stage,0,0,3,2,8
Yugoslavia,Quarter-finals,3,0,2,8,6
