name,parent,finish,wins,ties,losses,goalsfor,goalsagainst,crest
wBrazil,null,Champions,6,0,0,19,7,brazil.jpg
fBrazil,wBrazil,Champions,6,0,0,19,7,brazil.jpg
fItaly,wBrazil,Runners up,3,2,1,10,8,italy.jpg
sUruguay,fBrazil,Semi-finals,2,1,3,4,5,uruguay.jpg
sBrazil,fBrazil,Champions,6,0,0,19,7,brazil.jpg
sWest Germany,fItaly,Semi-finals,5,0,1,17,10,germany_west.jpg
sItaly,fItaly,Runners up,3,2,1,10,8,italy.jpg
qSoviet Union,sUruguay,Quarter-finals,2,1,1,6,2,soviet_union.jpg
qUruguay,sUruguay,Semi-finals,2,1,3,4,5,uruguay.jpg
qBrazil,sBrazil,Champions,6,0,0,19,7,brazil.jpg
qPeru,sBrazil,Quarter-finals,2,0,2,9,9,peru.jpg
qItaly,sItaly,Runners up,3,2,1,10,8,italy.jpg
qMexico,sItaly,Quarter-finals,2,1,1,6,4,mexico.jpg
qWest Germany,sWest Germany,Semi-finals,5,0,1,17,10,germany_west.jpg
qEngland,sWest Germany,Quarter-finals,2,0,2,4,4,england.jpg
