Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Angola,Group stage,0,2,1,1,2
Argentina,Quarter-finals,3,1,1,11,3
Australia,Last 16,1,1,2,5,6
Brazil,Quarter-finals,4,0,1,10,2
Costa Rica,Group stage,0,0,3,3,9
Croatia,Group stage,0,2,1,2,3
Czech Republic,Group stage,1,0,2,3,4
Ecuador,Last 16,2,0,2,5,4
England,Quarter-finals,3,1,1,6,2
France,Runners up,4,2,1,9,3
Germany,Semi-finals,6,0,1,14,6
Ghana,Last 16,2,0,2,4,6
Iran,Group stage,0,1,2,2,6
Italy,Champions,6,1,0,12,2
Ivory Coast,Group stage,1,0,2,5,6
Japan,Group stage,0,1,2,2,7
Mexico,Last 16,1,1,2,5,5
Netherlands,Last 16,2,1,1,3,2
North Korea,Group stage,1,1,1,3,4
Paraguay,Group stage,1,0,2,2,2
Poland,Group stage,1,0,2,2,4
Portugal,Semi-finals,5,0,2,7,5
Saudi Arabia,Group stage,0,1,2,2,7
Serbia,Group stage,0,0,3,2,10
Spain,Last 16,3,0,1,9,4
Sweden,Last 16,1,2,1,3,4
Switzerland,Last 16,2,1,1,4,0
Togo,Group stage,0,0,3,1,6
Trinidad,Group stage,0,1,2,0,4
Tunisia,Group stage,0,1,2,3,6
Ukraine,Last 16,3,0,2,5,7
USA,Group stage,0,1,2,2,6
