Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Group stage,1,1,1,2,2
Belgium,Last 16,1,2,1,6,7
Brazil,Champions,7,0,0,18,4
Cameroon,Group stage,1,1,1,2,3
China,Group stage,0,0,3,0,9
Costa Rica,Group stage,1,1,1,5,6
Croatia,Group stage,1,0,2,2,3
Denmark,Last 16,2,1,1,5,5
Ecuador,Group stage,1,0,2,2,4
England,Quarter-finals,2,2,1,6,3
France,Group stage,0,1,2,0,3
Germany,Runners up,5,1,1,14,3
Ireland,Last 16,1,2,1,6,3
Italy,Last 16,1,1,2,5,5
Japan,Last 16,2,1,1,5,3
Mexico,Last 16,2,1,1,4,4
Nigeria,Group stage,0,1,2,1,3
North Korea,Semi-finals,4,1,2,8,6
Paraguay,Last 16,1,1,2,6,7
Poland,Group stage,1,0,2,3,7
Portugal,Group stage,1,0,2,6,4
Russia,Group stage,1,0,2,4,4
Saudi Arabia,Group stage,0,0,3,0,12
Senegal,Quarter-finals,2,2,1,7,6
Slovenia,Group stage,0,0,3,2,7
South Africa,Group stage,1,1,1,5,5
Spain,Quarter-finals,4,0,1,10,5
Sweden,Last 16,1,2,2,5,5
Tunisia,Group stage,0,1,2,1,5
Turkey,Semi-finals,4,1,2,10,6
Uruguay,Group stage,0,2,1,4,5
USA,Quarter-finals,2,1,2,7,7
