Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Algeria,1st Group stage,2,0,1,5,5
Argentina,2nd Group stage,5,1,1,15,4
Austria,2nd Group stage,2,1,2,5,4
Belgium,2nd Group stage,2,1,3,3,2
Brazil,2nd Group stage,4,0,1,15,6
Cameroon,1st Group stage,0,3,0,1,1
Chile,1st Group stage,0,0,3,3,8
Czrchoslovakia,1st Group stage,0,2,1,2,4
El Salvador,1st Group stage,0,0,3,1,13
England,2nd Group stage,3,2,0,6,1
France,Semi-finals,3,1,3,16,12
Germany,Runners up,4,1,2,12,10
Honduras,1st Group stage,0,2,1,2,3
Hungary,1st Group stage,1,1,1,12,6
Italy,Champions,5,3,0,12,6
Kuwait,1st Group stage,0,1,2,2,6
New Zealand,1st Group stage,0,0,3,2,12
Northern Ireland,2nd Group stage,1,3,1,5,7
Peru,1st Group stage,0,2,1,2,6
Poland,Semi-finals,3,3,1,11,6
Scotland,1st Group stage,1,1,1,8,8
Soviet Union,2nd Group stage,2,2,1,7,4
Spain,2nd Group stage,1,2,2,4,5
Yugoslavia,1st Group stage,1,1,1,2,2
