Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Champions,5,1,1,15,4
Austria,2nd Group stage,3,0,3,7,10
Brazil,Semi-finals,4,3,0,10,3
France,1st Group stage,1,0,2,5,5
Germany,2nd Group stage,1,4,1,10,5
Hungary,1st Group stage,0,0,3,3,8
Iran,1st Group stage,0,1,2,2,8
Italy,Semi-finals,4,1,2,9,6
Mexico,1st Group stage,0,0,3,2,12
Netherlands,Runners up,3,2,2,13,10
Peru,2nd Group stage,2,1,3,7,12
Poland,2nd Group stage,3,1,2,6,6
Tunisia,1st Group stage,1,1,1,3,2
Scotland,1st Group stage,1,1,1,5,6
Spain,1st Group stage,1,1,1,2,2
Sweden,1st Group stage,0,1,2,1,3
