Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Quarter-finals,2,1,1,4,2
Brazil,Group stage,1,0,2,4,6
Bulgaria,Group stage,0,0,3,1,8
Chile,Group stage,0,1,2,2,5
England,Champions,5,1,1,11,3
France,Group stage,0,1,2,2,5
Germany,Runners up,4,1,1,15,4
Hungary,Quarter-finals,2,0,2,8,7
Italy,Group stage,1,0,2,2,2
Mexico,Group stage,0,2,1,1,3
North Korea,Quarter-finals,1,1,2,5,9
Portugal,Semi-finals,5,0,1,17,8
Soviet Union,Semi-finals,4,0,2,7,6
Spain,Group stage,1,0,2,4,5
Switzerland,Group stage,0,0,3,1,9
Uruguay,Quarter-finals,1,2,1,2,5
