Team,finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Algeria,Last 16,1,1,2,7,7
Argentina,Runners-up,6,0,1,8,4
Australia,Group stage,0,0,3,3,9
Belgium,Quarter finals,4,0,1,6,3
Bosnia,Group stage,1,0,2,4,4
Brazil,Semi-finals,4,0,3,11,14
Cameroon,Group stage,0,0,3,1,9
Chile,Last 16,2,0,2,6,4
Colombia,Quarter-finals,4,0,1,12,4
Costa Rica,Quarter-finals,3,1,1,5,2
Croatia,Group stage,1,0,2,6,6
Ecuador,Group stage,1,1,1,3,3
England,Group stage,0,1,2,2,4
France,Quarter-finals,3,1,1,10,3
Germany,Champion,6,1,0,18,4
Ghana,Group stage,0,1,2,4,6
Greece,Last 16,1,1,2,3,5
Honduras,Group stage,0,0,3,1,8
Iran,Group stage,0,1,1,1,4
Italy,Group stage,1,0,2,2,3
Ivory Coast,Group stage,1,0,2,4,5
Japan,Group stage,0,1,2,2,6
Mexico,Last 16,2,1,1,5,3
Nigeria,Last 16,1,1,2,3,5
Portugal,Group stage,1,1,1,4,7
Russia,Group stage,0,2,1,2,3
South Korea,Group stage,0,1,2,3,6
Spain,Group stage,1,0,2,4,7
Switzerland,Last 16,2,0,2,7,6
USA,Last 16,1,1,2,4,4
Uruguay,Last 16,2,0,2,4,4
