Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,1st Round,0,0,1,2,3
Austria,Semi-finals,2,0,2,7,7
Belgium,1st Round,0,0,1,2,5
Brazil,1st Round,0,0,1,1,3
Czechoslovakia,Runners up,3,0,1,9,6
Egypt,1st Round,0,0,1,2,4
France,1st Round,0,0,1,2,3
Germany,Semi-finals,3,0,1,11,8
Hungary,Quarter-finals,1,0,1,5,4
Italy,Champions,4,1,0,12,3
Netherlands,1st Round,0,0,1,2,3
Romania,1st Round,0,0,1,1,2
Spain,Quarter-finals,1,1,1,4,3
Sweden,Quarter-finals,1,0,1,4,4
Switzerland,Quarter-finals,1,0,1,5,5
USA,1st Round,0,0,1,1,7
