Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Bolivia,1st Group stage,0,0,1,0,8
Brazil,2nd Group stage,4,1,1,22,6
Chile,1st Group stage,1,0,2,5,6
England,1st Group stage,1,0,2,2,2
France,withdrew,0,0,0,0,0
India,withdrew,0,0,0,0,0
Italy,1st Group stage,1,0,1,4,3
Mexico,1st Group stage,0,0,3,2,10
Paraguay,1st Group stage,0,1,1,2,4
Spain,2nd Group stage,3,1,2,10,12
Sweden,2nd Group stage,2,1,2,11,15
Switzerland,1st Group stage,1,1,1,4,6
Uruguay,Champions,3,1,0,15,5
USA,1st Group stage,1,0,2,4,8
Yugoslavia,1st Group stage,2,0,1,7,3
