Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Austria,Semi-finals,4,0,1,17,12
Belgium,Group stage,0,1,1,5,8
Brazil,Quarter-finals,1,1,1,8,5
Czechoslovakia,Group stage,0,0,2,0,7
England,Quarter-finals,1,1,1,8,8
France,Group stage,1,0,1,3,3
Germany,Champions,5,0,1,25,13
Hungary,Runners up,5,0,1,27,9
Italy,Group stage,1,0,2,6,7
Mexico,Group stage,0,0,2,2,8
Scotland,Group stage,0,0,2,0,8
South Korea,Group stage,0,0,2,0,16
Switzerland,Quarter-finals,2,0,2,11,11
Turkey,Group stage,1,0,2,10,11
Uruguay,Semi-finals,3,0,2,16,9
Yugoslavia,Quarter-finals,1,1,1,2,3
