Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Argentina,Last 16,2,0,2,8,6
Belgium,Last 16,2,0,2,4,4
Bolovia,Group stage,0,1,2,1,4
Brazil,Champions,6,1,0,11,4
Bulgaria,Semi-finals,4,0,3,10,11
Cameroon,Group stage,0,1,2,3,11
Colombia,Group stage,1,0,2,4,5
Germany,Quarter-finals,3,1,1,9,7
Greece,Group stage,0,0,3,0,10
Ireland,Last 16,1,1,2,2,4
Italy,Runners up,4,1,2,8,5
Mexico,Last 16,1,1,2,4,4
Morocco,Group stage,0,0,3,2,5
Netherlands,Quarter-finals,3,0,2,8,6
Nigeria,Last 16,2,0,2,7,4
North Korea,Group stage,0,2,1,4,5
Norway,Group stage,1,1,1,1,1
Romania,Quarter-finals,3,0,2,10,9
Russia,Group stage,1,0,2,7,6
Saudi Arabia,Last 16,2,0,2,5,6
Spain,Quarter-finals,2,2,1,10,6
Sweden,Semi-finals,4,2,1,14,7
Switzerland,Last 16,1,1,2,5,7
USA,Last 16,1,1,2,3,4
