name,parent,finish,wins,ties,losses,goalsfor,goalsagainst,crest
wBrazil,null,Champions,5,1,0,17,4,brazil.jpg
fBrazil,wBrazil,Champions,5,1,0,17,4,brazil.jpg
fSweden,wBrazil,Runners up,4,1,1,12,7,sweden.jpg
sBrazil,fBrazil,Champions,5,1,0,17,4,brazil.jpg
sSweden,fSweden,Runners up,4,1,1,12,7,sweden.jpg
sFrance,fBrazil,Semi-finals,4,0,2,23,15,france.jpg
sWest Germany,fSweden,Semi-finals,2,2,2,12,14,germany_west.jpg
qBrazil,sBrazil,Champions,5,1,0,17,4,brazil.jpg
qSweden,sSweden,Runners up,4,1,1,12,7,sweden.jpg
qFrance,sFrance,Semi-finals,4,0,2,23,15,france.jpg
qWest Germany,sWest Germany,Semi-finals,2,2,2,12,14,germany_west.jpg
qWales,sBrazil,Quarter-finals,1,3,1,4,4,wales.jpg
qYugoslavia,sWest Germany,Quarter-finals,1,2,1,7,7,yugoslavia.jpg
qNorthern Ireland,sFrance,Quarter-finals,2,1,2,6,10,northern_ireland.jpg
qSoviet Union,sSweden,Quarter-finals,2,1,2,5,6,soviet_union.jpg
